,power_opt,time
2025-05-01 00:00:00,-2515.127,2025-05-01 00:00:00
2025-05-01 00:05:00,-2455.137,2025-05-01 00:05:00
2025-05-01 00:10:00,-2511.107,2025-05-01 00:10:00
2025-05-01 00:15:00,-2483.127,2025-05-01 00:15:00
2025-05-01 00:20:00,-2451.127,2025-05-01 00:20:00
2025-05-01 00:25:00,-2483.137,2025-05-01 00:25:00
2025-05-01 00:30:00,-2507.127,2025-05-01 00:30:00
2025-05-01 00:35:00,-2575.127,2025-05-01 00:35:00
2025-05-01 00:40:00,-2467.077,2025-05-01 00:40:00
2025-05-01 00:45:00,-2583.117,2025-05-01 00:45:00
2025-05-01 00:50:00,-2563.127,2025-05-01 00:50:00
2025-05-01 00:55:00,-2579.097,2025-05-01 00:55:00
2025-05-01 01:00:00,-2507.107,2025-05-01 01:00:00
2025-05-01 01:05:00,-2559.077,2025-05-01 01:05:00
2025-05-01 01:10:00,-2491.097,2025-05-01 01:10:00
2025-05-01 01:15:00,-2463.117,2025-05-01 01:15:00
2025-05-01 01:20:00,-2571.087,2025-05-01 01:20:00
2025-05-01 01:25:00,-2539.117,2025-05-01 01:25:00
2025-05-01 01:30:00,-2527.097,2025-05-01 01:30:00
2025-05-01 01:35:00,-2575.097,2025-05-01 01:35:00
2025-05-01 01:40:00,-2531.087,2025-05-01 01:40:00
2025-05-01 01:45:00,-2563.137,2025-05-01 01:45:00
2025-05-01 01:50:00,-2623.127,2025-05-01 01:50:00
2025-05-01 01:55:00,-2563.107,2025-05-01 01:55:00
2025-05-01 02:00:00,-2651.097,2025-05-01 02:00:00
2025-05-01 02:05:00,-2631.107,2025-05-01 02:05:00
2025-05-01 02:10:00,-2723.117,2025-05-01 02:10:00
2025-05-01 02:15:00,-2623.097,2025-05-01 02:15:00
2025-05-01 02:20:00,-2651.077,2025-05-01 02:20:00
2025-05-01 02:25:00,-2615.127,2025-05-01 02:25:00
2025-05-01 02:30:00,-2671.107,2025-05-01 02:30:00
2025-05-01 02:35:00,-2755.097,2025-05-01 02:35:00
2025-05-01 02:40:00,-2799.127,2025-05-01 02:40:00
2025-05-01 02:45:00,-2683.077,2025-05-01 02:45:00
2025-05-01 02:50:00,-2567.107,2025-05-01 02:50:00
2025-05-01 02:55:00,-2547.107,2025-05-01 02:55:00
2025-05-01 03:00:00,-2491.127,2025-05-01 03:00:00
2025-05-01 03:05:00,-2583.117,2025-05-01 03:05:00
2025-05-01 03:10:00,-2431.157,2025-05-01 03:10:00
2025-05-01 03:15:00,-2507.137,2025-05-01 03:15:00
2025-05-01 03:20:00,-2575.077,2025-05-01 03:20:00
2025-05-01 03:25:00,-2495.107,2025-05-01 03:25:00
2025-05-01 03:30:00,-2523.137,2025-05-01 03:30:00
2025-05-01 03:35:00,-2595.117,2025-05-01 03:35:00
2025-05-01 03:40:00,-2535.127,2025-05-01 03:40:00
2025-05-01 03:45:00,-2527.137,2025-05-01 03:45:00
2025-05-01 03:50:00,-2551.127,2025-05-01 03:50:00
2025-05-01 03:55:00,-2531.117,2025-05-01 03:55:00
2025-05-01 04:00:00,-2535.127,2025-05-01 04:00:00
2025-05-01 04:05:00,-2571.117,2025-05-01 04:05:00
2025-05-01 04:10:00,-2567.117,2025-05-01 04:10:00
2025-05-01 04:15:00,-2795.117,2025-05-01 04:15:00
2025-05-01 04:20:00,-2831.117,2025-05-01 04:20:00
2025-05-01 04:25:00,-2579.097,2025-05-01 04:25:00
2025-05-01 04:30:00,-2555.107,2025-05-01 04:30:00
2025-05-01 04:35:00,-2515.137,2025-05-01 04:35:00
2025-05-01 04:40:00,-2559.137,2025-05-01 04:40:00
2025-05-01 04:45:00,-2547.057,2025-05-01 04:45:00
2025-05-01 04:50:00,-2539.107,2025-05-01 04:50:00
2025-05-01 04:55:00,-2635.097,2025-05-01 04:55:00
2025-05-01 05:00:00,-2547.147,2025-05-01 05:00:00
2025-05-01 05:05:00,-2531.097,2025-05-01 05:05:00
2025-05-01 05:10:00,-2495.107,2025-05-01 05:10:00
2025-05-01 05:15:00,-2559.137,2025-05-01 05:15:00
2025-05-01 05:20:00,-2591.117,2025-05-01 05:20:00
2025-05-01 05:25:00,-2571.127,2025-05-01 05:25:00
2025-05-01 05:30:00,-2571.097,2025-05-01 05:30:00
2025-05-01 05:35:00,-2607.137,2025-05-01 05:35:00
2025-05-01 05:40:00,-2715.097,2025-05-01 05:40:00
2025-05-01 05:45:00,-2643.097,2025-05-01 05:45:00
2025-05-01 05:50:00,-2691.107,2025-05-01 05:50:00
2025-05-01 05:55:00,-2635.097,2025-05-01 05:55:00
2025-05-01 06:00:00,0.0,2025-05-01 06:00:00
2025-05-01 06:05:00,0.0,2025-05-01 06:05:00
2025-05-01 06:10:00,0.0,2025-05-01 06:10:00
2025-05-01 06:15:00,0.0,2025-05-01 06:15:00
2025-05-01 06:20:00,0.0,2025-05-01 06:20:00
2025-05-01 06:25:00,0.0,2025-05-01 06:25:00
2025-05-01 06:30:00,0.0,2025-05-01 06:30:00
2025-05-01 06:35:00,0.0,2025-05-01 06:35:00
2025-05-01 06:40:00,0.0,2025-05-01 06:40:00
2025-05-01 06:45:00,0.0,2025-05-01 06:45:00
2025-05-01 06:50:00,0.0,2025-05-01 06:50:00
2025-05-01 06:55:00,0.0,2025-05-01 06:55:00
2025-05-01 07:00:00,0.0,2025-05-01 07:00:00
2025-05-01 07:05:00,0.0,2025-05-01 07:05:00
2025-05-01 07:10:00,0.0,2025-05-01 07:10:00
2025-05-01 07:15:00,0.0,2025-05-01 07:15:00
2025-05-01 07:20:00,0.0,2025-05-01 07:20:00
2025-05-01 07:25:00,0.0,2025-05-01 07:25:00
2025-05-01 07:30:00,0.0,2025-05-01 07:30:00
2025-05-01 07:35:00,0.0,2025-05-01 07:35:00
2025-05-01 07:40:00,0.0,2025-05-01 07:40:00
2025-05-01 07:45:00,0.0,2025-05-01 07:45:00
2025-05-01 07:50:00,0.0,2025-05-01 07:50:00
2025-05-01 07:55:00,0.0,2025-05-01 07:55:00
2025-05-01 08:00:00,9000.0,2025-05-01 08:00:00
2025-05-01 08:05:00,9000.0,2025-05-01 08:05:00
2025-05-01 08:10:00,9000.0,2025-05-01 08:10:00
2025-05-01 08:15:00,9000.0,2025-05-01 08:15:00
2025-05-01 08:20:00,9000.0,2025-05-01 08:20:00
2025-05-01 08:25:00,9000.0,2025-05-01 08:25:00
2025-05-01 08:30:00,9000.0,2025-05-01 08:30:00
2025-05-01 08:35:00,9000.0,2025-05-01 08:35:00
2025-05-01 08:40:00,9000.0,2025-05-01 08:40:00
2025-05-01 08:45:00,9000.0,2025-05-01 08:45:00
2025-05-01 08:50:00,9000.0,2025-05-01 08:50:00
2025-05-01 08:55:00,9000.0,2025-05-01 08:55:00
2025-05-01 09:00:00,9000.0,2025-05-01 09:00:00
2025-05-01 09:05:00,9000.0,2025-05-01 09:05:00
2025-05-01 09:10:00,9000.0,2025-05-01 09:10:00
2025-05-01 09:15:00,9000.0,2025-05-01 09:15:00
2025-05-01 09:20:00,9000.0,2025-05-01 09:20:00
2025-05-01 09:25:00,9000.0,2025-05-01 09:25:00
2025-05-01 09:30:00,9000.0,2025-05-01 09:30:00
2025-05-01 09:35:00,9000.0,2025-05-01 09:35:00
2025-05-01 09:40:00,9000.0,2025-05-01 09:40:00
2025-05-01 09:45:00,9000.0,2025-05-01 09:45:00
2025-05-01 09:50:00,1044.0,2025-05-01 09:50:00
2025-05-01 09:55:00,0.0,2025-05-01 09:55:00
2025-05-01 10:00:00,0.0,2025-05-01 10:00:00
2025-05-01 10:05:00,0.0,2025-05-01 10:05:00
2025-05-01 10:10:00,0.0,2025-05-01 10:10:00
2025-05-01 10:15:00,0.0,2025-05-01 10:15:00
2025-05-01 10:20:00,0.0,2025-05-01 10:20:00
2025-05-01 10:25:00,0.0,2025-05-01 10:25:00
2025-05-01 10:30:00,0.0,2025-05-01 10:30:00
2025-05-01 10:35:00,0.0,2025-05-01 10:35:00
2025-05-01 10:40:00,0.0,2025-05-01 10:40:00
2025-05-01 10:45:00,0.0,2025-05-01 10:45:00
2025-05-01 10:50:00,0.0,2025-05-01 10:50:00
2025-05-01 10:55:00,0.0,2025-05-01 10:55:00
2025-05-01 11:00:00,-2811.107,2025-05-01 11:00:00
2025-05-01 11:05:00,-2859.077,2025-05-01 11:05:00
2025-05-01 11:10:00,-2727.067,2025-05-01 11:10:00
2025-05-01 11:15:00,-2835.087,2025-05-01 11:15:00
2025-05-01 11:20:00,-2739.117,2025-05-01 11:20:00
2025-05-01 11:25:00,-2795.117,2025-05-01 11:25:00
2025-05-01 11:30:00,-2831.127,2025-05-01 11:30:00
2025-05-01 11:35:00,-2767.137,2025-05-01 11:35:00
2025-05-01 11:40:00,-2787.097,2025-05-01 11:40:00
2025-05-01 11:45:00,-2883.117,2025-05-01 11:45:00
2025-05-01 11:50:00,-2847.097,2025-05-01 11:50:00
2025-05-01 11:55:00,-2879.057,2025-05-01 11:55:00
2025-05-01 12:00:00,-2723.097,2025-05-01 12:00:00
2025-05-01 12:05:00,-2775.137,2025-05-01 12:05:00
2025-05-01 12:10:00,-2695.127,2025-05-01 12:10:00
2025-05-01 12:15:00,-2635.087,2025-05-01 12:15:00
2025-05-01 12:20:00,-2755.087,2025-05-01 12:20:00
2025-05-01 12:25:00,-2787.147,2025-05-01 12:25:00
2025-05-01 12:30:00,-2783.097,2025-05-01 12:30:00
2025-05-01 12:35:00,-2759.107,2025-05-01 12:35:00
2025-05-01 12:40:00,-2555.127,2025-05-01 12:40:00
2025-05-01 12:45:00,-2443.087,2025-05-01 12:45:00
2025-05-01 12:50:00,-2423.087,2025-05-01 12:50:00
2025-05-01 12:55:00,-2363.097,2025-05-01 12:55:00
2025-05-01 13:00:00,-2259.087,2025-05-01 13:00:00
